チーム,背番号,選手,生年月日,ポジション,投打,出身,年俸,,,年齢,,2026,中日,横浜,巨人,阪神,ヤクルト,広島,ソフトバンク,日本ハム,楽天,西武,ロッテ,オリックス,OB,,パワプロ
阪神,42,E.ルーカス,1996.09.23,投手,,,"18,840",1996,09,30,09,,藤嶋 健人,S.レイノルズ,大勢,E.ルーカス,N.ウォルターズ,島内 颯太郎,今宮 健太,郡司 裕也,村林 一輝,桑原 将志,益田 直也,田嶋 大樹,ウィリアムス,,
阪神,99,D.モレッタ,1996.04.15,投手,,,"15,600",1996,04,30,04,,H.メヒア,C.ヒュンメル,大城 卓三,D.モレッタ,清水 昇,E.モンテロ,松本 裕樹,田中 正義,宋 家豪,A.ワイナンス,藤岡 裕大,中川 圭太,藤川 球児,,
阪神,27,伊藤 将司,1996.05.08,投手,,,"14,000",1996,05,30,05,,松葉 貴大,森原 康平,高梨 雄平,伊藤 将司,吉村 貢司郎,森浦 大輔,大関 友久,北山 亘基,鈴木 翔天,中村 剛也,藤原 恭大,紅林 弘太郎,田淵 幸一,,
阪神,24,C.ディベイニー,1997.04.13,内野手,,,"13,950",1997,04,29,04,,K.マラー,D.ビシエド,A.バルドナード,C.ディベイニー,長岡 秀樹,野間 峻祥,牧原 大成,河野 竜生,小深田 大翔,甲斐野 央,佐藤 都志也,頓宮 裕真,バース,,
阪神,21,大竹 耕太郎,1995.06.29,投手,,,"13,000",1995,06,31,06,,O.カリステ,石田 健大,中川 皓太,大竹 耕太郎,茂木 栄五郎,中﨑 翔太,栗原 陵矢,古林 睿煬,辛島 航,古賀 悠斗,岡 大海,山岡 泰輔,岡田 彰布,,
阪神,46,C.ラグズデール,1998.05.25,投手,,,"12,580",1998,05,28,05,,涌井 秀章,藤浪 晋太郎,B.ダルベック,C.ラグズデール,木澤 尚文,末包 昇大,中村 晃,玉井 大翔,酒居 知史,栗山 巧,田村 龍弘,杉本 裕太郎,掛布 雅之,,
阪神,2,梅野 隆太郎,1991.06.17,捕手,,,"12,000",1991,06,35,06,,木下 拓哉,戸柱 恭孝,S.ハワード,梅野 隆太郎,星 知弥,會澤 翼,藤井 皓哉,宮西 尚生,藤平 尚真,西川 愛也,角中 勝也,太田 椋,鳥谷 敬,,
阪神,98,R.ドリス,1988.01.10,投手,,,"10,000",1988,01,38,01,,大島 洋平,山本 祐大,松本 剛,R.ドリス,矢崎 拓也,堂林 翔太,東浜 巨,杉浦 稔大,小郷 裕哉,渡邉 勇太朗,横山 陸人,岩嵜 翔,金本 知憲,,
阪神,17,伏見 寅威,1990.05.12,捕手,,,"10,000",1990,05,36,05,,高橋 周平,大貫 晋一,田中 将大,伏見 寅威,青柳 晃洋,矢野 雅哉,柳町 達,野村 佑希,早川 隆久,炭谷 銀仁朗,鈴木 昭汰,宗 佑磨,赤星 憲広,,
阪神,14,岩貞 祐太,1991.09.05,投手,,,"10,000",1991,09,35,09,,齋藤 綱記,京田 陽太,B.マタ,岩貞 祐太,高橋 奎二,森 翔平,杉山 一樹,齋藤 友貴哉,太田 光,石井 一成,髙部 瑛斗,平野 佳寿,真弓 明信,,
阪神,12,坂本 誠志郎,1993.11.10,捕手,,,"10,000",1993,11,33,11,,上林 誠知,入江 大生,船迫 大雅,坂本 誠志郎,内山 壮真,塹江 敦哉,嶺井 博希,池田 隆英,伊藤 光,與座 海人,唐川 侑己,山田 修義,今岡 誠,,
阪神,37,及川 雅貴,2001.04.18,投手,,,"10,000",2001,04,25,04,,橋本 侑樹,三森 大貴,岸田 行倫,及川 雅貴,高梨 裕稔,玉村 昇悟,J.ダウンズ,田宮 裕涼,西口 直人,松本 航,安田 尚憲,曽谷 龍平,矢野 輝弘,,
阪神,47,桐敷 拓馬,1999.06.20,投手,,,"8,500",1999,06,27,06,,田中 幹也,蝦名 達夫,泉口 友汰,桐敷 拓馬,塩見 泰隆,大盛 穂,大津 亮介,水野 達稀,藤井 聖,ボー・タカハシ,小野 郁,西野 真弘,藤田 平,,
阪神,65,湯浅 京己,1999.07.17,投手,,,"6,000",1999,07,27,07,,山本 泰寛,坂本 裕哉,赤星 優志,湯浅 京己,荘司 宏太,羽月 隆太郎,津森 宥紀,水谷 瞬,内 星龍,武内 夏暉,西川 史礁,山﨑 颯一郎,和田 豊,,
阪神,33,糸原 健斗,1992.11.11,内野手,,,"5,500",1992,11,34,11,,勝野 昌慶,関根 大気,田中 瑛斗,糸原 健斗,小澤 怜史,鈴木 健矢,海野 隆司,上原 健太,瀧中 瞭太,佐藤 隼輔,友杉 篤輝,廣岡 大志,藤村 富美男,,
阪神,0,木浪 聖也,1994.06.15,内野手,,,"5,500",1994,06,32,06,,福 敬登,柴田 竜拓,小林 誠司,木浪 聖也,石川 雅規,中村 奨成,野村 勇,金村 尚真,荘司 康誠,長谷川 信哉,高野 脩汰,大城 滉二,吉田 義男,,
阪神,38,小幡 竜平,2000.09.21,内野手,,,"4,000",2000,09,26,09,,宇佐見 真吾,神里 和毅,門脇 誠,小幡 竜平,奥川 恭伸,アドゥワ 誠,川瀬 晃,福谷 浩司,宗山 塁,滝澤 夏央,坂本 光士郎,阿部 翔太,八木 裕,,
阪神,18,伊原 陵人,2000.08.07,投手,,,"3,600",2000,08,26,08,,村松 開人,度会 隆輝,井上 温大,伊原 陵人,古賀 優大,黒原 拓未,松本 晴,達 孝太,古謝 樹,渡部 聖弥,山口 航輝,山下 舜平大,川藤 幸三,,
阪神,58,前川 右京,2003.05.18,外野手,,,"3,100",2003,05,23,05,,福永 裕基,佐々木 千隼,中山 礼都,前川 右京,宮本 丈,石原 貴規,上茶谷 大河,島本 浩也,西垣 雅矢,山田 陽翔,小川 龍成,宇田川 優希,桧山 進次郎,,
阪神,29,髙橋 遥人,1995.11.07,投手,,,"3,000",1995,11,31,11,,石伊 雄太,林 琢真,石川 達也,髙橋 遥人,岩田 幸宏,岡本 駿,尾形 崇斗,五十幡 亮汰,中島 大輔,黒木 優太,中森 俊介,才木 海翔,北別府 学,,
阪神,4,熊谷 敬宥,1995.11.10,内野手,,,"3,000",1995,11,31,11,,梅野 雄吾,平良 拳太郎,泉 圭輔,熊谷 敬宥,山野 太一,遠藤 淳志,大江 竜聖,上川畑 大悟,渡辺 翔太,山村 崇嘉,愛斗,吉田 輝星,川口 和久,,
阪神,53,島田 海吏,1996.02.06,外野手,,,"3,000",1996,02,30,02,,金丸 夢斗,石田 裕太郎,若林 楽人,島田 海吏,丸山 和郁,髙 太一,正木 智也,柳川 大晟,加治屋 蓮,岸 潤一郎,石川 慎吾,古田島 成龍,大野 豊,,
阪神,62,植田 海,1996.04.19,内野手,,,"2,500",1996,04,30,04,,石川 昂弥,浜地 真澄,横川 凱,植田 海,赤羽 由紘,佐々木 泰,秋広 優人,山本 拓実,今野 龍太,蛭間 拓哉,田中 晴也,髙島 泰都,黒田 博樹,,
阪神,50,富田 蓮,2001.09.06,投手,,,"2,500",2001,09,25,09,,加藤 匠馬,梶原 昂希,増田 大輝,富田 蓮,松本 健吾,ケムナ 誠,緒方 理貢,生田目 翼,黒川 史陽,中村 祐太,寺地 隆成,小木田 敦也,佐々岡 真司,,
阪神,36,畠 世周,1994.05.31,投手,,,"2,000",1994,05,32,05,,板山 祐太郎,中川 虎大,平内 龍太,畠 世周,大道 温貴,平川 蓮,谷川原 健太,福島 蓮,田中 和基,柘植 世那,和田 康士朗,麦谷 祐介,前田 健太,,
阪神,67,髙寺 望夢,2002.10.17,内野手,,,"2,000",2002,10,24,10,,ブライト 健太,松尾 汐恩,西舘 勇陽,髙寺 望夢,松本 直樹,高橋 昂也,中村 稔弥,淺間 大基,渡邊 佳明,小島 大河,池田 来翔,博志,外木場 義郎,,
阪神,64,岡留 英貴,1999.11.07,投手,,,"1,900",1999,11,27,11,,中西 聖輝,森 敬斗,リチャード,岡留 英貴,中村 優斗,常廣 羽也斗,大山 凌,堀 瑞輝,佐藤 直樹,森脇 亮介,菊地 吏玖,平沼 翔太,永川 勝浩,,
阪神,32,濱田 太貴,2000.09.04,外野手,,,"1,600",2000,09,26,09,,阿部 寿樹,竹田 祐,増田 陸,濱田 太貴,並木 秀尊,二俣 翔一,川村 友斗,矢澤 宏太,伊藤 裕季也,佐々木 健,上田 希由翔,本田 仁海,小林 幹英,,
阪神,9,立石 正広,2003.11.01,内野手,,,"1,600",2003,11,23,11,,C.ロドリゲス,颯,佐々木 俊輔,立石 正広,増田 珠,林 晃汰,前田 純,中島 卓也,石原 彪,平沢 大河,木村 優人,大里 昂生,横山 竜士,,
阪神,60,小野寺 暖,1998.03.17,外野手,,,"1,500",1998,03,28,03,,川越 誠司,小田 康一郎,浅野 翔吾,小野寺 暖,松下 歩叶,佐藤 柳之介,長谷川 威展,奈良間 大己,藤原 聡大,児玉 亮涼,澤田 圭佑,東 晃平,津田 恒実,,
阪神,120,西 純矢,2001.09.13,外野手,,,"1,500",2001,09,25,09,,土田 龍空,石上 泰輝,萩尾 匡也,西 純矢,武岡 龍世,齊藤 汰直,渡邉 陸,西川 遥輝,堀内 謙伍,茶野 篤政,東妻 勇輔,来田 涼斗,達川 光男,,
阪神,57,長坂 拳弥,1994.04.28,捕手,,,"1,200",1994,04,32,04,,櫻井 頼之介,宮城 滝太,竹丸 和幸,長坂 拳弥,伊藤 琉偉,松本 竜也,廣瀨 隆太,清水 優心,津留﨑 大成,菅井 信也,八木 彬,野口 智哉,新井 貴浩,,
阪神,0,元山 飛優,1998.12.04,内野手,,,"1,200",1998,12,28,12,,吉田 聖弥,馬場 皐輔,森田 駿哉,元山 飛優,北村 恵吾,益田 武尚,岩井 俊介,菊地 大稀,江原 雅裕,上田 大河,茶谷 健太,福永 奨,菊池 涼介,,
阪神,54,木下 里都,2001.01.27,投手,,,"1,200",2001,01,25,01,,草加 勝,篠木 健太郎,堀田 賢慎,木下 里都,丸山 翔大,滝田 一希,木村 光,細野 晴希,YG安田,岩城 颯空,山本 大斗,渡部 遼人,衣笠 祥雄,,
阪神,25,谷端 将伍,2004.03.17,内野手,,,"1,200",2004,03,22,03,,石橋 康太,島田 舜也,湯浅 大,谷端 将伍,阪口 皓亮,勝田 成,庄子 雄大,今川 優馬,田中 千晴,高橋 礼,石垣 元気,川瀬 堅斗,野村 謙二郎,,
阪神,30,門別 啓人,2004.07.10,投手,,,"1,200",2004,07,22,07,,鵜飼 航丞,吉野 光樹,板東 湧梧,門別 啓人,松川 玲央,田村 俊介,稲川 竜汰,L.リン,武藤 敦貴,仲田 慶介,宮崎 竜成,片山 楽生,山本 浩二,,
阪神,61,豊田 寛,1997.04.28,外野手,,,"1,130",1997,04,29,04,,根尾 昂,H.マルセリーノ,北浦 竜次,豊田 寛,山野辺 翔,長谷部 銀次,鈴木 豪太,山縣 秀,伊藤 樹,青山 美夏人,松川 虎生,石川 亮,鈴木 誠也,,
阪神,19,下村 海翔,2002.03.27,投手,,,"1,100",2002,03,24,03,,知野 直人,片山 皓心,浦田 俊輔,下村 海翔,西舘 昂汰,工藤 泰己,前田 悠伍,根本 悠楓,中込 陽翔,野村 大樹,廣畑 敦也,横山 楓,前田 智徳,,
阪神,39,榮枝 裕貴,1998.05.16,捕手,,,"1,000",1998,05,28,05,,伊藤 茉央,松本 凌人,石塚 裕惺,榮枝 裕貴,柿沼 友哉,辻 大雅,生海,大川 慈英,德山 一翔,秋山 俊,廣池 康志郎,椋木 蓮,西山 秀二,,
阪神,26,椎葉 剛,2002.03.18,投手,,,"1,000",2002,03,24,03,,R.マルティネス,井上 絢登,荒巻 悠,椎葉 剛,増居 翔太,中村 貴浩,澤柳 亮太郎,吉田 賢吾,繁永 晟,糸川 亮太,河村 説人,寺西 成騎,栗原 健太,,
阪神,68,中川 勇斗,2004.01.27,捕手,,,"1,000",2004,01,22,01,,篠﨑 国忠,宮下 朝陽,田和 廉,中川 勇斗,澤井 廉,久保 修,L.ロドリゲス,進藤 勇也,柴田 大地,髙松 渡,毛利 海大,富山 凌雅,正田 耕三,,
阪神,34,岡城 快生,2003.06.23,外野手,,,960,2003,06,23,06,,辻本 倫太郎,成瀬 脩人,E.ルシアーノ,岡城 快生,長谷川 宙輝,佐藤 啓介,髙橋 隆慶,細川 凌平,九谷 瑠,羽田 慎之介,山﨑 剛,入山 海斗,江藤 智,,
阪神,63,石黒 佑弥,2001.06.20,投手,,,900,2001,06,25,06,,近藤 廉,若松 尚輝,山瀬 慎之助,石黒 佑弥,下川 隼佑,渡邉 悠斗,笹川 吉康,エドポロ ケイン,田中 貴也,牧野 翔矢,本前 郁也,山中 稜真,髙橋 慶彦,,
阪神,49,工藤 泰成,2001.11.19,投手,,,840,2001,11,25,11,,三浦 瑞樹,古市 尊,小濱 佑斗,工藤 泰成,山崎 太陽,前川 誠太,相良 雅斗,浅利 太門,小森 航大郎,齋藤 大翔,立松 由宇,元 謙太,嶋 重宣,,
阪神,45,佐野 大陽,2002.02.14,内野手,,,730,2002,02,24,02,,仲地 礼亜,加藤 響,宮原 駿介,佐野 大陽,飯田 琉斗,赤木 晴哉,A.アルメンタ,大塚 瑠晏,平良 竜哉,村田 怜音,井上 広大,齋藤 響介,緒方 孝市,,
阪神,43,町田 隼乙,2003.04.03,捕手,,,730,2003,04,23,04,,松木平 優太,堀岡 隼人,皆川 岳飛,町田 隼乙,石原 勇輝,斉藤 優汰,D.サルディ,宮崎 一樹,吉野 創士,林 冠臣,冨士 隼斗,杉澤 龍,山崎 隆造,,
阪神,51,早川 太貴,1999.12.18,投手,,,720,1999,12,27,12,,尾田 剛樹,坂口 翔颯,山城 京平,早川 太貴,石井 巧,河野 佳,Ｊ.オスーナ,柴田 獅子,林 優樹,堀越 啓太,一條 力真,佐藤 一磨,平松 政次,,
阪神,66,津田 淳哉,2001.08.27,投手,,,720,2001,08,25,08,,樋口 正修,小園 健太,又木 鉄平,津田 淳哉,矢野 泰二郎,髙木 快大,D.アルモンテ,梅林 優貴,泰 勝利,横田 蒼和,大谷 輝龍,藤川 敦也,三浦 大輔,,
阪神,28,今朝丸 裕喜,2006.06.02,投手,,,720,2006,06,20,06,,花田 旭,九鬼 隆平,山田 龍聖,今朝丸 裕喜,西村 瑠伊斗,内田 湘大,安德 駿,福田 俊,吉納 翼,宮澤 太成,石垣 雅海,権田 琉成,秋山 登,,
阪神,40,井坪 陽生,2005.03.17,外野手,,,700,2005,03,21,03,,新保 茉良,濱 将乃介,岡田 悠希,井坪 陽生,橋本 星哉,持丸 泰輝,井上 朋也,宮内 春輝,松田 啄磨,浜屋 将太,大聖,東山 玲士,斉藤 明夫,,
阪神,55,能登 嵩都,2001.09.29,投手,,,660,2001,09,25,09,,福田 幸之介,橋本 達弥,郡 拓也,能登 嵩都,田中 陽翔,清水 叶人,伊藤 優輔,山城 航太郎,阪上 翔也,豆田 泰志,早坂 響,髙谷 舟,遠藤 一彦,,
阪神,122,小川 一平,1997.06.03,投手,,,650,1997,06,29,06,,森 駿太,勝又 温史,松浦 慶斗,小川 一平,モイセエフ ニキータ,菊地 ハルン,山本 恵大,畔柳 亨丞,坂井 陽翔,古川 雄大,宮﨑 颯,池田 陵真,野村 弘樹,,
阪神,52,山田 脩也,2005.08.20,内野手,,,600,2005,08,21,08,,味谷 大誠,東妻 純平,松井 颯,山田 脩也,沼田 翔平,髙木 翔斗,石塚 綜一郎,藤田 琉生,日當 直喜,黒田 将矢,植田 将太,窪田 洋祐,盛田 幸妃,,
阪神,48,茨木 秀俊,2004.06.08,投手,,,550,2004,06,22,06,,能戸 輝夢,西巻 賢二,代木 大和,茨木 秀俊,鈴木 叶,仲田 侑仁,岩崎 峻典,有薗 直輝,入江 大樹,古賀 輝希,坂井 遼,森 陽樹,木塚 敦志,,
阪神,59,藤田 健斗,2001.10.18,捕手,,,540,2001,10,25,10,,有馬 惠叶,岩田 将貴,喜多 隆介,藤田 健斗,坂本 拓己,辰見 鴻之介,イヒネ イツア,清宮 虎多朗,陽 柏翔,川田 悠慎,奥村 頼人,東松 快征,川村 丈夫,,
阪神,56,百﨑 蒼生,2005.09.11,内野手,,,500,2005,09,21,09,,高橋 幸佑,益子 京右,笹原 操希,百﨑 蒼生,翔聖,日髙 暖己,村上 泰斗,松岡 洸希,ワォーターズ 璃海ジュミル,杉山 遙希,櫻井 ユウヤ,横山 聖哉,山口 俊,,
阪神,121,戸井 零士,2005.01.18,内野手,,,480,2005,01,21,01,,福元 悠真,松本 隆之介,石田 充冴,戸井 零士,鈴木 蓮吾,西川 篤夢,村田 賢一,孫 易磊,大内 誠弥,篠原 響,森 遼大朗,陳 睦衡,斎藤 隆,,
阪神,44,早瀬 朔,2007.08.30,投手,,,480,2007,08,19,08,,津田 啓史,武田 陸玖,J.ティマ,早瀬 朔,モンテル,名原 典彦,田上 奏大,阪口 樂,大栄 利哉,狩生 聖真,中村 亮太,内藤 鵬,佐々木 主浩,,
阪神,125,伊藤 稜,1999.11.08,投手,,,350,1999,11,27,11,,森山 暁生,森下 瑠大,川原田 純平,伊藤 稜,佐藤 琢磨,杉田 健,大野 稼頭央,安西 叶翔,伊藤 大晟,仲三河 優太,S.アセベド,河内 康介,谷繁 元信,,
阪神,123,松原 快,1999.08.24,投手,,,300,1999,08,27,08,,梅津 晃大,田内 真翔,藤井 健翔,松原 快,中川 拓真,安竹 俊喜,藤田 悠太郎,星野 ひので,前田 銀治,成田 晴風,秋山 正雲,堀 柊那,松原 誠,,
阪神,132,A.マルティネス,2000.01.10,投手,,,300,2000,01,26,01,,森 博人,深沢 鳳介,石田 隼都,A.マルティネス,竹山 日向,杉原 望来,大竹 風雅,明瀬 諒介,青野 拓海,奥村 光一,金田 優太,山口 廉王,ローズ,,
阪神,134,S.コンスエグラ,2000.09.24,外野手,,,300,2000,09,26,09,,土生 翔太,上甲 凌大,三塚 琉生,S.コンスエグラ,廣澤 優,N.ロベルト,川口 冬弥,清水 大暉,水上 桂,佐藤 太陽,吉川 悠斗,宜保 翔,村田 修一,,
阪神,130,川﨑 俊哲,2001.05.02,内野手,,,300,2001,05,25,05,,山浅 龍之介,庄司 陽斗,黃 錦豪,川﨑 俊哲,西濱 勇星,岸本 大希,木村 大成,半田 南十,古賀 康誠,野田 海人,岡村 了樹,前 佑囲斗,石井 琢朗,,
阪神,126,福島 圭音,2001.10.06,外野手,,,300,1992,10,34,10,,川上 理偉,近藤 大雅,鈴木 大和,福島 圭音,髙野 颯太,M.ラミレス,牧原 巧汰,藤森 海斗,蕭 齊,龍山 暖,長島 幸佑,遠藤 成,鈴木 尚典,,
阪神,133,J.アルナエス,2002.08.22,内野手,,,300,2002,08,24,08,,牧野 憲伸,清水 麻成,舟越 秀虎,J.アルナエス,根岸 辰昇,小林 結太,石見 颯真,松本 遼大,島原 大河,上間 永遠,杉山 諒,佐藤 龍月,近藤 和彦,,
阪神,129,山﨑 照英,2002.12.01,外野手,,,300,2002,12,24,12,,三上 愛介,小笠原 蒼,京本 眞,山﨑 照英,澤野 聖悠,小船 翼,宇野 真仁朗,山口 アタル,中沢 匠磨,三浦 大輝,永島田 輝斗,香月 一也,金城 龍彦,,
阪神,127,神宮 僚介,2003.05.27,投手,,,300,2003,05,23,05,,日渡 騰輝,高見澤 郁魅,宇都宮 葵星,神宮 僚介,松本 龍之介,竹下 海斗,大友 宗,藤田 大清,金子 京介,是澤 涼輔,髙野 光海,野上 士耀,内川 聖一,,
阪神,85,嶋村 麟士朗,2003.07.13,捕手,,,300,2003,07,23,07,,中村 奈一輝,吉岡 暖,坂本 達也,嶋村 麟士朗,小宮 悠瞳,D.アリア,大泉 周也,横山 永遠,大坪 梓恩,シンクレア,勝又 琉偉,宮國 凌空,相川 亮二,,
巨人,92,R.マルティネス,1996.10.11,投手,,,"120,000",1996,10,30,10,,井上 剣也,金渕 光希,花田 侑樹,,,,重松 凱人,常谷 拓輝,幌村 黛汰,J.ゴンザレス,富山 紘之進,河野 聡太,,,
巨人,6,坂本 勇人,1988.12.14,内野手,,,"30,000",1988,12,38,12,,石川 大峨,小針 大輝,中田 歩夢,,,,西尾 歩真,濵田 泰希,岸本 佑也,正木 悠馬,武内 涼太,村上 喬一朗,駒田 徳広,,
巨人,43,則本 昂大,1990.12.17,投手,,,"30,000",1990,12,36,12,,,清水 詩太,園田 純規,,,,鈴木 貴大,加藤 大和,,安藤 銀杜,藤田 和樹,寿賀 弘都,高木 豊,,
巨人,10,甲斐 拓也,1992.11.05,捕手,,,"30,000",1992,11,34,11,,,,富田 龍,,,,宮里 優吾,澁谷 純希,,佐藤 爽,松石 信八,芦田 丈飛,田代 富雄,,
巨人,13,T.キャベッジ,1997.05.03,外野手,,,"25,000",1997,05,29,05,,,,木下 幹也,,,,岡田 皓一朗,川勝 空人,,斎藤 佳紳,髙橋 快秀,田島 光祐,山下 大輔,,
巨人,20,戸郷 翔征,2000.04.04,投手,,,"24,000",2000,04,26,04,,,,田村 朋輝,,,,相原 雄太,,,平口 寛人,茨木 佑太,寺本 聖一,筒香 嘉智,,
巨人,8,丸 佳浩,1989.04.11,外野手,,,"20,000",1989,04,37,04,,,,知念 大成,,,,漁府 輝羽,,,R.オリバー,谷村 剛,清水 武蔵,屋鋪 要,,
巨人,2,吉川 尚輝,1995.02.08,内野手,,,"20,000",1995,02,31,02,,,,冨重 英二郎,,,,大矢 琉晟,,,J.コルニエル,中山 優人,乾 健斗,加藤 博一,,
巨人,26,F.ウィットリー,1997.09.15,投手,,,"20,000",1997,09,29,09,,,,林 燦,,,,北斗,,,フレッド,C.ラドニー,今坂 幸暉,堀内 恒夫,,
巨人,19,山﨑 伊織,1998.10.10,投手,,,"18,000",1998,10,28,10,,,,河野 優作,,,,張 峻瑋,,,カルロス,,上原 堆我,江川 卓,,
巨人,15,大勢,1999.06.29,投手,,,"18,000",1999,06,27,06,,,,亀田 啓太,,,,桑原 秀侍,,,金子 功児,,マシュー,上原 浩治,,
巨人,24,大城 卓三,1993.02.11,捕手,,,"16,000",1993,02,33,02,,,,平山 功太,,,,藤野 恵音,,,ムサ,,三方 陽登,斎藤 雅樹,,
巨人,53,高梨 雄平,1992.07.13,投手,,,"15,000",1992,07,34,07,,,,相澤 白虎,,,,山崎 琢磨,,,谷口 朝陽,,渡邉 一生,槙原 寛己,,
巨人,49,A.バルドナード,1993.02.01,投手,,,"15,000",1993,02,33,02,,,,森本 哲星,,,,ハモンド,,,川下 将勲,,中西 創大,桑田 真澄,,
巨人,41,中川 皓太,1994.02.24,投手,,,"15,000",1994,02,32,02,,,,吉村 優聖歩,,,,井﨑 燦志郎,,,木瀬 翔太,,,山口 鉄也,,
巨人,29,B.ダルベック,1995.06.29,内野手,,,"15,000",1995,06,31,06,,,,堀江 正太郎,,,,佐藤 航太,,,福尾 遥真,,,鹿取 義隆,,
巨人,28,S.ハワード,1996.07.28,投手,,,"15,000",1996,07,30,07,,,,西川 歩,,,,盛島 稜大,,,ラマル,,,角 三男,,
巨人,9,松本 剛,1993.08.11,外野手,,,"11,000",1993,08,33,08,,,,北村 流音,,,,山下 恭吾,,,オケム,,,岡島 秀樹,,
巨人,11,田中 将大,1988.11.01,投手,,,"10,000",1988,11,38,11,,,,田上 優弥,,,,岡植 純平,,,澤田 遥斗,,,水野 雄仁,,
巨人,42,B.マタ,1999.05.03,投手,,,"10,000",1999,05,27,05,,,,村山 源,,,,内野 海斗,,,冨士 大和,,,西村 健太朗,,
巨人,58,船迫 大雅,1996.10.16,投手,,,"9,000",1996,10,30,10,,,,竹下 徠空,,,,佐々木 明都,,,今岡 拓夢,,,阿部 慎之助,,
巨人,27,岸田 行倫,1996.10.10,捕手,,,"7,000",1996,10,30,10,,,,吹田 志道,,,,飛田 悠成,,,濱岡 蒼太,,,王 貞治,,
巨人,35,泉口 友汰,1999.05.17,内野手,,,"5,900",1999,05,27,05,,,,C.フェリス,,,,中澤 恒貴,,,新井 唯斗,,,篠塚 利夫,,
巨人,31,赤星 優志,1999.07.02,投手,,,"4,800",1999,07,27,07,,,,千葉 隆広,,,,長水 啓眞,,,,,,長嶋 茂雄,,
巨人,45,田中 瑛斗,1999.07.13,投手,,,"4,650",1999,07,27,07,,,,鈴木 圭晋,,,,佐倉 俠史朗,,,,,,坂本 勇人,,
巨人,22,小林 誠司,1989.06.07,捕手,,,"4,000",1989,06,37,06,,,,F.グズマン,,,,藤原 大翔,,,,,,清水 隆行,,
巨人,5,門脇 誠,2001.01.24,内野手,,,"4,000",2001,01,25,01,,,,松井 蓮太朗,,,,塩士 暖,,,,,,松井 秀喜,,
巨人,97,井上 温大,2001.05.13,投手,,,"3,800",2001,05,25,05,,,,,,,,ザイレン,,,,,,高橋 由伸,,
巨人,40,中山 礼都,2002.04.12,外野手,,,"3,800",2002,04,24,04,,,,,,,,津嘉山 憲志郎,,,,,,原 辰徳,,
